full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,otros,,,,,,,,,,,,,,,,,,,,4 planes de pensiones en Unicaja Banco,83508.48,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",Retribución como teniente de alcalde de ayuntamiento Antequera,"33989,2",33989.2,,,,,,,,,,,,,,,,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,vehiculos,,,,,,,,,,,,,,,,,,2018,Volvo XC60,,,,,,,,
ÁNGEL LUIS GONZÁLEZ MUÑOZ,ÁngelLuisGonzálezMuñoz,ÁNGEL LUIS GONZÁLEZ MUÑOZ,,vehiculos,,,,,,,,,,,,,,,,,,2009,mOTO 125CC pIAGGIO,,,,,,,,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,MADRID,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda,Murcia,2010,14.28% Herencia,,,,,,,,,,,,,,,,,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda,Madrid,2013,50% donación,,,,,,,,,,,,,,,,,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Trastero,Madrid,2013,50% donación,,,,,,,,,,,,,,,,,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,2 plazas de aparcamiento,Madrid,2013,50% donación,,,,,,,,,,,,,,,,,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,cantidad pagada por irpf,,,,,19635.58,,,,,,,,,,,,,,,,,,,,,,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,dueda,,,,,,,,,,,,,,,,,,,,,,"Préstamo (Adq vehículo, concedido por BMW Financial Service)",44133,33028.9,33028.9,33028.9,
ANTONIO GONZÁLEZ TEROL,AntonioGonzálezTerol,ANTONIO GONZÁLEZ TEROL,,dueda,,,,,,,,,,,,,,,,,,,,,,"Préstamo (Adq vehículo, concedido por BMW Financial Service)",44550,58951,58951,58951,
