unique_id,full_name,first_name,last_name,party,political_group,political_group_IW,gender,congress_page
Cristinalópezzamora,Cristina  López Zamora, Cristina  ,López Zamora,PP,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=224&idLegislatura=14
Cristinalópezzamora,Cristina  López Zamora, Cristina  ,López Zamora,PP,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=224&idLegislatura=14
Danielsenderosoraá,Daniel  Senderos Oraá, Daniel  ,Senderos Oraá,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=367&idLegislatura=14
Danielvicenteviondi,Daniel  Vicente Viondi, Daniel  ,Vicente Viondi,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=80&idLegislatura=14
Davidserradapariente,David  Serrada Pariente, David  ,Serrada Pariente,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=37&idLegislatura=14
Diegogagobugarín,Diego  Gago Bugarín, Diego  ,Gago Bugarín,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=121&idLegislatura=14
Diegogagobugarín,Diego  Gago Bugarín, Diego  ,Gago Bugarín,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=121&idLegislatura=14
Diegomovellánlombilla,Diego  Movellán Lombilla, Diego  ,Movellán Lombilla,ERC-S,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=78&idLegislatura=14
Diegomovellánlombilla,Diego  Movellán Lombilla, Diego  ,Movellán Lombilla,ERC-S,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=78&idLegislatura=14
Diegotaibomonelos,Diego  Taibo Monelos, Diego  ,Taibo Monelos,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=373&idLegislatura=14
